Date, GDP_Billions_of_US_$, Per_Capita_US_$, Annual_Change
31/12/1960,73.23397084,1397.5949,1
31/12/1961,77.74196904,1472.3858,2.6771
31/12/1962,81.24756765,1525.7759,1.1029
31/12/1963,86.56196553,1613.457,4.8744
31/12/1964,94.40756241,1748.2882,5.5337
31/12/1965,101.8247595,1873.5679,2.1422
31/12/1966,108.5727568,1986.7472,1.5731
31/12/1967,113.1168821,2058.7818,2.7865
31/12/1968,107.7599139,1951.7587,5.4411
31/12/1969,116.464707,2100.6679,1.9241
31/12/1970,130.6822956,2347.7302,6.68
31/12/1971,148.1066019,2649.671,3.5047
31/12/1972,169.969084,3030.5047,4.3217
31/12/1973,192.551677,3426.5201,6.5238
31/12/1974,206.152361,3666.2361,-2.4844
31/12/1975,241.7346213,4299.3541,-1.4736
31/12/1976,232.6104455,4138.0947,2.9103
31/12/1977,263.0793066,4681.6686,2.4578
31/12/1978,335.8800784,5976.8857,4.2043
31/12/1979,439.0115809,7805.0734,3.749
31/12/1980,564.9542769,10032.1787,-2.0314
31/12/1981,540.7207612,9598.5089,-0.7877
31/12/1982,515.0067803,9145.3291,1.9949
31/12/1983,489.5997643,8691.195,4.2219
31/12/1984,461.4830056,8179.1219,2.2691
31/12/1985,489.2562812,8651.7058,4.1474
31/12/1986,601.4550042,10611.1537,3.1503
31/12/1987,745.1303384,13118.0184,5.3927
31/12/1988,910.1710307,15988.0165,5.7324
31/12/1989,926.9261432,16240.0062,2.5776
31/12/1990,1093.21371,19096.2412,0.7338
31/12/1991,1142.766274,19900.1885,-1.1031
31/12/1992,1179.713015,20488.0997,0.4011
31/12/1993,1061.457884,18390.2178,2.4898
31/12/1994,1140.443311,19708.4356,3.846
31/12/1995,1346.252041,23203.6289,2.5317
31/12/1996,1421.711933,24441.9199,1.9077
31/12/1997,1561.715128,26779.7788,4.5241
31/12/1998,1654.996608,28296.7603,3.1573
31/12/1999,1689.407711,28788.9693,3.0141
31/12/2000,1666.048767,28289.6527,4.0927
31/12/2001,1648.765214,27888.6051,2.1574
31/12/2002,1785.781373,30078.6081,1.7708
31/12/2003,2056.704587,34480.9411,3.1231
31/12/2004,2423.047347,40392.2649,2.345
31/12/2005,2544.813166,42131.8271,2.6683
31/12/2006,2709.978166,44537.7123,2.1604
31/12/2007,3092.996468,50438.2296,2.5635
31/12/2008,2931.683721,47432.8791,-0.1543
31/12/2009,2417.56571,38820.0146,-4.5105
31/12/2010,2491.397494,39693.1939,2.4301
31/12/2011,2666.403005,42150.6981,1.0676
31/12/2012,2706.340967,42485.5861,1.4485
31/12/2013,2786.315215,43449.0917,1.8199
31/12/2014,3065.22328,47447.5889,3.1997
31/12/2015,2934.857946,45071.0743,2.3931
31/12/2016,2699.659681,41146.0774,2.1652
31/12/2017,2683.488511,40622.6894,2.4436
31/12/2018,2878.152147,43306.3083,1.705
31/12/2019,2857.057848,42747.0805,1.6043
31/12/2020,2704.60916,40318.4169,-11.0309
31/12/2021,3122.480346,46585.8976,7.5975
31/12/2022,3070.667732,45850.4261,4.1016
